class,message
krystyna,"Can we create code for vebinar? Remember, you made something like skype for business (we can do it for lingua). Normally it is not easy to make vebinar"
krystyna,Because I say check the link below. There should be a link to a vebinar.
krystyna,"The earliest I can be is 5:30, but I can’t run in my shoes and jeans"
krystyna,I I new I would take another shoes
krystyna,But from tomorrow we run together as well
krystyna,"Super happy for you!
Finally you are influencing the world.
Please do not eat at home"
krystyna,"Everything is closed, isn’t it? Do you have any Amman amman shops around?"
krystyna,I ran as well :) weather is beautiful
krystyna,I thought to take laptop as I didn’t do anything with it this week
krystyna,Can we go out today?
krystyna,Can you ask Gemma and Giovanni?
krystyna,She cant work on public holidays can she?
krystyna,Can you talk to Yu Tin? She doesn't have any excuse for the weekend
krystyna,I have one more thing to talk about. There is one girl from my town and she agreed to make some pictures for lingua during the weekend. Can we do it?
krystyna,Do you know anyone with the car?
krystyna,safari longleat
krystyna,I am not a dog to come and go at your convenience
krystyna,If my phone is dead I will be waiting in Costa
krystyna,Is marquis waiting for me?
krystyna,And God’s servant Matteo was dying in pain…
krystyna,I finished courses and programmes
krystyna,you will be alright
krystyna,you are a strong guy
krystyna,for this photo and update an address in courses (schools) I will finish programmes
krystyna,write a post on instagram
krystyna,we have some troubles.... It looks like we are not allowed to put courses on our website without the contract with the university and its permission. We are not qualified to sign a contract as well as we need to othe universities to give us references.
krystyna,No worries. Can happen to anyone
krystyna,You are much more patient with me 😉
krystyna,I am downloading them
krystyna,first page updated
krystyna,maybe we need to wait weekend until you update all the pictures and delete all I done again
krystyna,And it is not even the last time of your amazing changes
krystyna,"Matteo, I updated ranking in each Uni before you deleted it"
