class,message
matteo,"If you’re talking about coding a webinar platform, forget it"
matteo,Why you don’t upload your video?
matteo,Mhhh ok next time then because later will rain
matteo,Be at my place at 5:30 max and we go together
matteo,Doctor Matt is going out now🚲
matteo,I still need to go to Lidl and shower but it’ll be 30 min
matteo,Okay take your laptop and come here. We can go to the park and write something
matteo,I’ll go for a run and then to grocery then I’m free
matteo,Also are you calling the Albanian?
matteo,I’ve checked and there’s no train back on Sunday
matteo,Actually this is the fastest without car
matteo,Mhhh I think we need to go by car
matteo,Nah I’m still here
matteo,Im updating the database now
matteo,Remember me as a playful guy who loved eating
matteo,And I also found a tool to do remote pair programming. I can teach you from my laptop to yours even when you’re not with me
matteo,So far we only have 1 source of traffic which is not enough
matteo,I want to come up with a plan to actually use the website
matteo,You’re amazing. Sorry again for the extra work. I’m learning as well
matteo,On Friday I’ll explain my thesis on some changes I think we should do to the website to use its potential
matteo,Did you store those image also on your laptop?
matteo,Looks like the beginning of a porn movie!
matteo,"But don’t worry too much. Only the front page, the rest I help you with"
matteo,You don’t need to. It’s very well organised. Use google sheets and it will be copy paste
matteo,You can open with google sheets
matteo,This is not as bad as last time but still...will get myself forgiven for this
matteo,I made a mistake. Shouldn’t have aligned the 2 versions. Didn’t think enough about it
matteo,I don’t get it. Did you write back the rankings and addresses?
matteo,Same for ranking. This site needs to be done properly
matteo,This is so wrong that address is ok program and not on university
matteo,Mhhh the data is here. Not sure why it’s not displaying
matteo,Mhhh the data is here. Not sure why it’s not displaying
matteo,Let me check it should be there
